FlightDate,Atrasos,Cancelamentos,Cold,Fog,Rain,Snow,Storm
2019-02-08,-309.0,405,75.0,1365,-2246.0,1489,30
2019-02-09,-2206.0,309,-124.0,574,-364.0,1288,7
2019-02-10,2218.0,560,-62.0,781,1031.0,1776,10
2019-02-11,106.0,1044,41.0,1704,1601.0,2235,50
2019-02-12,733.0,2171,8.0,1490,511.0,2784,31
2019-02-13,-374.0,699,-59.0,892,-2146.0,2556,69
2019-02-14,-148.0,388,-35.0,868,-195.0,1181,60
2019-02-15,-159.0,254,74.0,900,-221.0,1837,46
2019-02-16,-2155.0,119,20.0,807,443.0,1417,46
2019-02-17,1415.0,792,-54.0,1129,144.0,2092,2
2019-02-18,1984.0,395,56.0,693,-371.0,2317,3
2019-02-19,-1082.0,388,220.0,698,676.0,1274,1
2019-02-20,1985.0,2210,-220.0,1173,1653.0,3358,23
2019-02-21,-936.0,779,-71.0,1436,-1278.0,1796,1
2019-02-22,-59.0,401,81.0,1594,-60.0,1286,9
2019-02-23,-2271.0,480,-39.0,1862,1377.0,1529,92
2019-02-24,685.0,1083,-22.0,2137,-748.0,2383,417
2019-02-25,1039.0,1231,79.0,894,-2937.0,1448,123
2019-02-26,-1491.0,583,0.0,785,644.0,1089,45
2019-02-27,-31.0,399,-28.0,969,767.0,1641,10
2019-02-28,1551.0,312,-13.0,1259,-132.0,1129,25
2019-03-01,422.0,373,-45.0,1121,480.0,1261,19
2019-03-02,-1396.0,468,88.0,1602,-398.0,2178,18
2019-03-03,921.0,973,126.0,1796,905.0,2180,13
2019-03-04,-208.0,867,112.0,1373,-1382.0,2196,20
2019-03-05,-1227.0,239,-315.0,888,-700.0,1498,10
2019-03-06,-244.0,263,42.0,460,699.0,1414,14
2019-03-07,603.0,226,50.0,568,-434.0,1433,42
2019-03-08,174.0,296,-100.0,996,707.0,1202,27
2019-03-09,980.0,466,-13.0,1337,1871.0,1318,133
2019-03-10,725.0,377,-4.0,1025,-932.0,1616,16
2019-03-11,-2560.0,303,24.0,902,-1139.0,467,4
2019-03-12,-239.0,286,-30.0,922,933.0,475,20
2019-03-13,558.0,1950,9.0,1261,1783.0,1068,275
2019-03-14,1583.0,1464,-2.0,1016,-1266.0,868,523
2019-03-15,-363.0,531,-43.0,285,-673.0,612,49
2019-03-16,-1943.0,344,4.0,392,-1383.0,685,2
2019-03-17,-346.0,333,5.0,388,-486.0,419,1
2019-03-18,-530.0,294,32.0,416,-117.0,187,2
2019-03-19,-195.0,317,-1.0,387,379.0,95,2
2019-03-20,529.0,333,-30.0,347,1124.0,144,2
2019-03-21,882.0,257,17.0,585,989.0,151,5
2019-03-22,930.0,340,-10.0,510,-923.0,749,18
2019-03-23,-1928.0,233,0.0,527,-330.0,464,15
2019-03-24,457.0,271,-9.0,531,16.0,160,3
2019-03-25,590.0,389,18.0,644,412.0,152,4
2019-03-26,-886.0,260,14.0,614,-722.0,56,2
2019-03-27,236.0,260,-32.0,301,-463.0,51,9
2019-03-28,-190.0,232,-3.0,307,389.0,207,5
2019-03-29,89.0,197,-4.0,628,1025.0,521,11
2019-03-30,-675.0,198,1.0,378,794.0,764,11
2019-03-31,1180.0,222,10.0,258,-923.0,804,5
2019-04-01,3810.0,330,-22.0,199,-1433.0,406,1
2019-04-02,-4690.0,233,1.0,415,1309.0,538,3
2019-04-03,104.0,312,26.0,489,-570.0,417,6
2019-04-04,1154.0,283,-18.0,583,1362.0,79,11
2019-04-05,-170.0,256,-10.0,1501,788.0,224,2
2019-04-06,-790.0,355,20.0,2269,-901.0,145,5
2019-04-07,1658.0,501,-11.0,1832,575.0,41,8
2019-04-08,173.0,412,-3.0,1139,370.0,216,23
2019-04-09,-673.0,257,3.0,1135,-568.0,332,27
2019-04-10,-676.0,980,3.0,881,-1488.0,1373,135
2019-04-11,515.0,924,10.0,689,-355.0,1816,185
2019-04-12,1678.0,259,-18.0,525,1578.0,1283,21
2019-04-13,-1829.0,840,-3.0,653,1225.0,653,16
2019-04-14,3444.0,2053,0.0,755,-81.0,666,21
2019-04-15,-903.0,816,20.0,459,-1249.0,399,30
